query_type,base_n,base_correct,base_acc,base_ci_lo,base_ci_hi,ft_n,ft_correct,ft_acc,ft_ci_lo,ft_ci_hi,delta_acc
ate,1476,1135,0.768970189701897,0.7467858273182306,0.7897581350551099,1476,1339,0.9071815718157181,0.8913024164115121,0.9209467558463663,0.1382113821138211
backadj,1644,849,0.5164233576642335,0.4922567826845207,0.5405133601656574,1644,1056,0.6423357664233577,0.6188591315357728,0.6651487731657706,0.12591240875912413
collider_bias,168,103,0.6130952380952381,0.5377032490898431,0.6834308140214963,168,156,0.9285714285714286,0.879310950204933,0.9586707626380373,0.31547619047619047
correlation,1476,759,0.5142276422764228,0.48872621473600014,0.5396552039285846,1476,1087,0.736449864498645,0.7133814380604735,0.7582907102223877,0.2222222222222222
det-counterfactual,1476,839,0.5684281842818428,0.543014840581264,0.59348626823412,1476,1327,0.8990514905149052,0.8826316006685262,0.9133996180667323,0.33062330623306235
ett,1296,724,0.558641975308642,0.5314742400233279,0.5854630979639563,1296,1154,0.8904320987654321,0.8722588000219504,0.906297687103915,0.33179012345679004
exp_away,168,91,0.5416666666666666,0.46623203773529126,0.6152384065688863,168,118,0.7023809523809523,0.6293474400706631,0.7663661465496283,0.1607142857142857
marginal,1644,954,0.5802919708029197,0.5562760745787414,0.6039335126887959,1644,1521,0.9251824817518248,0.9114496987103107,0.9369328884109664,0.3448905109489051
nde,384,193,0.5026041666666666,0.4528178259657241,0.5523389203142672,384,329,0.8567708333333334,0.8181951467420455,0.8882790936167578,0.35416666666666674
nie,828,408,0.4927536231884058,0.45881263896738766,0.5267615352063636,828,655,0.7910628019323671,0.7620585168340049,0.8173788205203195,0.2983091787439613
overall,10560,6055,0.5733901515151515,0.5639319925001591,0.5827949350140518,10560,8742,0.8278409090909091,0.8205216488424374,0.8349217357436247,0.25445075757575764
