query_type,n,correct,acc,ci_lo,ci_hi
marginal,1580,1503,0.9512658227848101,0.9395112203636593,0.9608314193988956
correlation,1422,1341,0.9430379746835443,0.9297551703322936,0.9539335400816534
backadj,1580,805,0.509493670886076,0.48485086690853463,0.5340904228480409
ate,1422,1241,0.8727144866385372,0.8543815327161345,0.8890391284257574
ett,1264,909,0.7191455696202531,0.6937346621378228,0.7432284897970517
nie,790,499,0.6316455696202532,0.5974479717999346,0.6645690817172731
nde,316,229,0.7246835443037974,0.6729585927504176,0.7710113682533133
det-counterfactual,1422,1043,0.7334739803094233,0.7098867687839729,0.7558031547992499
exp_away,158,153,0.9683544303797469,0.9280665333019532,0.9864086640822399
collider_bias,158,85,0.5379746835443038,0.46025816470988046,0.6138884729158649
overall,10112,7808,0.7721518987341772,0.7638741500983673,0.7802229497232877
